Trip_Year,Trip_Month,start station name,start station latitude,start station longitude,trip_count
2020,2,Broadway & W 51 St,40.76228826,-73.98336183,9393
2020,2,Broadway & W 53 St,40.76344058,-73.98268129,9393
2020,2,Broadway & W 56 St,40.764,-73.983,9393
2020,2,Broadway & W 56 St,40.7652654,-73.98192338,9393
2020,2,Broadway & W 60 St,40.76915505,-73.98191841,9393
2020,2,Broadway & W 60 St,40.77,-73.983,9393
2020,2,Broadway & Whipple St,40.7016657,-73.9437303,9393
2020,2,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,9393
2020,2,Bus Slip & State St,40.701907,-74.013942,9393
2020,2,Bushwick Ave & Dekalb Ave,40.69502,-73.92825,9393
2020,2,Bushwick Ave & Forrest St,40.700759999999995,-73.93641,9393
2020,2,Bushwick Ave & Furman Ave,40.682809999999996,-73.90623000000001,9393
2020,2,Bushwick Ave & Harman St,40.69356,-73.92524,9393
2020,2,Bushwick Ave & Linden St,40.69146,-73.92146,9393
2020,2,Bushwick Ave & McKibbin St,40.705517,-73.93936,9393
2020,2,Bushwick Ave & Powers St,40.71247661,-73.94100005,9393
2020,2,Bushwick Ave & Stagg St,40.709897,-73.94008000000001,9393
2020,2,Butler St & Court St,40.6849894,-73.99440329,9393
2020,2,Cadman Plaza E & Johnson St,40.695,-73.98899999999999,9393
2020,2,Cadman Plaza E & Johnson St,40.69531727766904,-73.99015724658966,9393
2020,2,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,9393
2020,2,Calyer St & Jewel St,40.72984,-73.94839,9393
2020,2,Calyer St & Jewel St,40.731,-73.947,9393
2020,2,Cambridge Pl & Gates Ave,40.68488,-73.96304,9393
2020,2,Canal St & Rutgers St,40.71427487,-73.98990025,9393
2020,2,Carlton Ave & Dean St,40.68097410000001,-73.97100970000001,9393
2020,2,Carlton Ave & Flushing Ave,40.697787,-73.973736,9393
2020,2,Carlton Ave & Flushing Ave,40.698,-73.97399999999999,9393
2020,2,Carlton Ave & Park Ave,40.69580705,-73.97355569,9393
2020,2,Carmine St & 6 Ave,40.73038599,-74.00214988,9393
2020,2,Carroll St & 5 Ave,40.6751622,-73.9814832,9393
2020,2,Carroll St & 6 Ave,40.6740886,-73.9787282,9393
2020,2,Carroll St & Bond St,40.6786115,-73.99037292,9393
2020,2,Carroll St & Columbia St,40.6830456,-74.00348559,9393
2020,2,Carroll St & Franklin Ave,40.6679411,-73.9588,9393
2020,2,Carroll St & Smith St,40.680611,-73.99475825,9393
2020,2,Carroll St & Washington Ave,40.6686744,-73.9618148,9393
2020,2,Cathedral Pkwy & Broadway,40.804213,-73.96699104,9393
2020,2,Catherine St & Monroe St,40.71117444,-73.99682619,9393
2020,2,Cedar St & Evergreen Ave,40.696709999999996,-73.92806999999999,9393
2020,2,Cedar St & Myrtle Ave,40.697842,-73.926241,9393
2020,2,Center Blvd & 48 Ave,40.745038,-73.957539,9393
2020,2,Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003,9393
2020,2,Central Ave & Covert St,40.68929,-73.90951,9393
2020,2,Central Ave & Decatur St,40.6882,-73.90798000000001,9393
2020,2,Central Ave & Flushing Ave,40.702831,-73.9333,9393
2020,2,Central Ave & Himrod St,40.69676,-73.92302,9393
2020,2,Central Ave & Melrose St,40.70112,-73.93039,9393
2020,2,Central Ave & Starr Street,40.700003,-73.92834,9393
2020,2,Central Ave & Weirfield St,40.69055,-73.91181,9393
2020,2,Central Ave & Woodbine St,40.69296,-73.91605,9393
2020,2,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,9393
2020,2,Central Park S & 6 Ave,40.76590936,-73.97634151,9393
2020,2,Central Park W & W 96 St,40.791270000000004,-73.964839,9393
2020,2,Central Park West & W 100 St,40.794000000000004,-73.962,9393
2020,2,Central Park West & W 100 St,40.794066608185524,-73.96286845207214,9393
2020,2,Central Park West & W 102 St,40.795346,-73.96186,9393
2020,2,Central Park West & W 68 St,40.7734066,-73.97782542,9393
2020,2,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,9393
2020,2,Central Park West & W 76 St,40.77896784,-73.97374737,9393
2020,2,Central Park West & W 85 St,40.78472675,-73.96961715,9393
2020,2,Centre St & Chambers St,40.71273266,-74.0046073,9393
2020,2,Centre St & Seneca Ave,40.699690000000004,-73.9022,9393
2020,2,Centre St & Worth St,40.71494807,-74.00234482,9393
2020,2,Cherry St,40.71219906,-73.97948148,9393
2020,2,Christopher St & Greenwich St,40.73291553,-74.00711384,9393
2020,2,Clark St & Henry St,40.69760127,-73.99344559,9393
2020,2,Classon Ave & St Marks Ave,40.676519799999994,-73.9596082,9393
2020,2,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,9393
2020,2,Clermont Ave & Park Ave,40.69573398,-73.97129668,9393
2020,2,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,9393
2020,2,Cliff St & Fulton St,40.70838,-74.00495,9393
2020,2,Clinton Ave & Flushing Ave,40.69794,-73.96986848,9393
2020,2,Clinton Ave & Flushing Ave,40.698,-73.971,9393
2020,2,Clinton Ave & Myrtle Ave,40.693261,-73.968896,9393
2020,2,Clinton St & 4 Place,40.6783563,-74.00014502,9393
2020,2,Clinton St & Centre St,40.67434,-74.00194698,9393
2020,2,Clinton St & Grand St,40.71559509,-73.9870295,9393
2020,2,Clinton St & Joralemon St,40.692,-73.992,9393
2020,2,Clinton St & Joralemon St,40.69239502,-73.99337909,9393
2020,2,Clinton St & Union St,40.683116399999996,-73.99785267,9393
2020,2,Coffey St & Conover St,40.677236,-74.015665,9393
2020,2,Columbia Heights & Cranberry St,40.70037867,-73.99548059,9393
2020,2,Columbia St & Degraw St,40.6859296,-74.00242364,9393
2020,2,Columbia St & Kane St,40.68763155,-74.0016256,9393
2020,2,Columbia St & Lorraine St,40.6747055,-74.00755720000001,9393
